<title>《凡人修仙傳》▷ 第466章 寶光閣</title><br>&emsp;&emsp;韓立素然膽大，這一望之下仍覺得心神晃動，大有頭暈目眩之感。<br>
<br>&emsp;&emsp;這樣想罷，韓立倒背雙手地慢慢向球形光罩走去，隨後圍着它轉了三四圈，才停下了腳步。<br>
<br>&emsp;&emsp;一張嘴，一把寸許長的青色小劍從韓立口中噴射而出。<br>
<br>&emsp;&emsp;在頭頂盤旋了幾圈後。就在韓立的神念一動之下。忽化爲了一道青芒徑直的扎向了光罩底部。<br>
<br>&emsp;&emsp;“砰”的一聲輕響，光罩被小劍所扎之處一抹明亮的藍光閃動。青芒竟然直接反彈了回來，沒能奏效半分。<br>
<br>&emsp;&emsp;看到這一幕，韓立不怒反喜。<br>
<br>&emsp;&emsp;越是這樣，越說明球形光罩內的古寶珍貴之極。<br>
<br>&emsp;&emsp;韓立面帶興奮之色的再次張口，一連竄噴出了九口小劍。這些小劍在韓立頭上一陣長鳴後，合成了一把青光的巨劍。<br>
<br>&emsp;&emsp;“斬”韓立口中一聲低吼。<br>
<br>&emsp;&emsp;巨劍一招力劈華山，毫不客氣的對着光罩就是一劍。<br>
<br>&emsp;&emsp;“轟”的一聲，巨劍罩壁接觸的瞬間，一下破開了一條數遲長的縫隙。<br>
<br>&emsp;&emsp;韓立露出一絲喜色。<br>
<br>&emsp;&emsp;但是未等下面在採取什麼行動時，驀然出了一股強大的力量從裡面傳來，巨劍“噌”的一聲硬被反彈了出去。<br>
<br>&emsp;&emsp;而那道縫隙藍光一閃後，就回復如初了。<br>
<br>&emsp;&emsp;韓立先是詫異了一下，接着臉色陰沉了下來。摸了摸下巴，重新凝望了球形光罩兩眼。<br>
<br>&emsp;&emsp;沒多久韓立臉色一緩，微微的笑了起來。<br>
<br>&emsp;&emsp;他衝巨劍一點指，讓其在一聲清鳴聲中拆解了開來，重新化爲九柄小劍飛射回了身體。<br>
<br>&emsp;&emsp;隨後毫不遲疑的伸手往腰間一模，一隻裝滿了噬金蟲的靈獸袋被他祭了出去。<br>
<br>&emsp;&emsp;嗡鳴聲大起，一股金銀色蟲霧從袋中蜂擁而出。<br>
<br>&emsp;&emsp;韓立口中一聲低嘯，蟲羣立刻一擁而上的衝了上去。瞬間爬滿了球形光罩的底部。<br>
<br>&emsp;&emsp;片刻之後，這一片罩壁在韓立面前被羣蟲硬生生的啃出了一個三四尺的圓孔來。<br>
<br>&emsp;&emsp;光罩藍光大起，圓孔竟在一陣扭曲中迅速收縮了起來，回覆速度比噬金蟲的吞噬猶勝三分。<br>
<br>&emsp;&emsp;韓立一見不敢怠慢，當即化身一道細長的青光，從那還未合攏的圓孔中飛遁進了其內罩壁也在此時重新彌合到了一起。<br>
<br>&emsp;&emsp;青光一斂後，韓立的身形出現了光罩內。<br>
<br>&emsp;&emsp;望着身邊不遠處透露出上古氣息的數十種古寶，他同樣輕輕漂浮着，臉上現出一絲興奮。<br>
<br>&emsp;&emsp;不過韓立也不敢在此久待，急忙想將神識放出，探測一下這些古寶的靈氣大小。<br>
<br>&emsp;&emsp;但馬上臉現一絲苦色，神識在此間竟然無法離體分毫。<br>
<br>&emsp;&emsp;如此一來，他只能僅憑直覺和經驗來挑選一件了。<br>
<br>&emsp;&emsp;無奈的這樣想過後，韓立只能睜大雙眼的一件件細瞅過去。<br>
<br>&emsp;&emsp;怪刃？不行，一看就是攻擊性的古寶，他並不稀罕。<br>
<br>&emsp;&emsp;令牌？不要，看其上面附着的一隻怪獸形象，應該和他以前得到的畫軸一樣，驅使一些靈獸精魂用的。<br>
<br>&emsp;&emsp;小鼓？這是幹什麼的，他根本看不出絲毫用途出來，還是算了吧！心裡嘀咕着，將一件件的古寶排除掉。<br>
<br>&emsp;&emsp;最終，韓立圈定了三樣物品。<br>
<br>&emsp;&emsp;一件是面金黃色的橢圓形鏡子，一個是五個連在一塊兒的五色銅環，最後一個則是件暗紅色的寬大披風。<br>
<br>&emsp;&emsp;之所以選中了這三件，韓立當然有自己的心思。<br>
<br>&emsp;&emsp;金黃色的鏡子不用說了，在修仙界中只要是鏡子類的法寶，幾乎無一不是神通奇特、威力強大的寶物。<br>
<br>&emsp;&emsp;韓立當然不想錯過。<br>
<br>&emsp;&emsp;五個串在一起的五色銅環，裡面恐怕同時包含了五行的屬性，雖然不知道神通是什麼，威力肯定不會小的。<br>
<br>&emsp;&emsp;至於最後一件披風……<br>
