<title>《一念永恆》▷ 第842章 天尊血發</title><br><p>&emsp;&emsp;第842章 天尊血發</p>
<br><p>&emsp;&emsp;想到這裡，白浩狠狠一咬牙，他轉頭看向守陵人，忽然開口。</p>
<br><p>&emsp;&emsp;“前輩，晚輩可以成爲您的繼承人，可您……不是我的師尊，我的師尊永遠，只有一個！！”白浩聲音堅決，目光果斷，他可以選擇成爲下一代冥皇，爲的是保護自己的師尊，可他不能接受改換門庭！</p>
<br><p>&emsp;&emsp;這番話，讓白小純內心一震，他望着自己的弟子，目中越發柔和，這個弟子的秉性他了解，也知道白浩對自己的那種師徒感情，這一切，都讓白小純的心中，很是溫暖。</p>
<br><p>&emsp;&emsp;守陵人面無表情，可心中卻在這一瞬，有了笑意，實際上他哪怕對白浩已經很瞭解，可依舊還是並非完全放心，實在是下一代冥皇太重要了，所以就算是到了現在，他對白浩的試探，也都始終存在。</p>
<br><p>&emsp;&emsp;如方纔他的話語，就是試探，而白浩的回答以及那不含絲毫虛假的情感表達，也讓守陵人對於白浩，更爲滿意。</p>
<br><p>&emsp;&emsp;“好！”守陵人點了點頭，白浩鬆了口氣，心底還有很多問題想要問出，可守陵人卻沒給他這個機會，大袖一甩，一抹紅芒從其袖口飛出，直奔白小純。</p>
<br><p>&emsp;&emsp;白小純一愣，下意識的接住後，他的手中出現了一絲……血色的頭髮！！</p>
<br><p>&emsp;&emsp;此發一出，天地轟鳴，似有無聲的咆哮從虛無傳來，引起蒼穹色變，一個巨大的漩渦，竟在白小純的四周憑空出現！</p>
<br><p>&emsp;&emsp;轟轟之聲迴盪時，這頭髮彷彿要掙脫，白小純下意識的攥住時，那股生機之力更爲磅礴更爲強悍，似乎要脫離白小純，飛向虛無。</p>
<br><p>&emsp;&emsp;守陵人目光一閃，大袖一甩，頓時那咆哮帶着不甘消散，蒼穹也都平靜下來，一股看不見的封印，直接就烙在了那頭髮上，使得這頭髮哪怕具備再多的生機之力，也都無法逃遁，只能乖乖的被白小純抓在手心內！</p>
<br><p>&emsp;&emsp;隨着抓住，這頭髮散出的生機之濃郁，讓白小純只是碰觸，就立刻全身轟鳴，他呼吸頓時急促，幾乎瞬間就認出，此發……就是天尊額頭上，之前的那一絲血發！！</p>
<br><p>&emsp;&emsp;“此發的生機，可以讓你的不死骨……直至達到巔峰，算是老夫給你的一場造化！”守陵人淡淡開口，帶着白浩向前一步，頓時冥河顯露出來，洶涌澎湃，翻滾中，守陵人踏入冥河，身影隨着冥河的流淌，剎那遠去，消失無影。</p>
<br><p>&emsp;&emsp;直至守陵人與白浩離去，冥河也消失，露出了冥河禁地那乾枯的河道，四周也在這一剎，安靜無比……</p>
<br><p>&emsp;&emsp;只剩下白小純一個人，拿着那血色的頭髮，呆呆的站在岸邊，怔怔的看着自己弟子遠去消失的方向。</p>
<br><p>&emsp;&emsp;這一切太快了，白小純雖對於成爲冥皇沒有興趣，也很希望自己的弟子能成爲下一代冥皇，可眼下突然的，徒兒離開了自己身邊，他的心中不由得升起不捨以及失落。</p>
<br><p>&emsp;&emsp;“雛鷹長大了，總是要離開老鷹的懷抱，飛向更寬闊的天空……”白小純嘆了口氣，安慰自己一番後，又覺得自己現在可以說是真正的大人物了。</p>
<br><p>&emsp;&emsp;“現在的蠻荒，我絕對是最至高無上的了吧……道侶是天人，岳父是半神，弟子更是冥皇！大天師看到我，都要自嘆不如啊！”白小純一想到這裡，心臟跳動加速，忍不住激動起來。</p>
<br><p>&emsp;&emsp;(本章完)</p>
