<title>《玄界之門》▷ 第九百三十一章 局勢扭轉</title></p><p>&emsp;&emsp;（忘語因爲不滿意，上一章作了不少修改，大家有時間話可以去重新看下啊。）</p>
</p><p>&emsp;&emsp;另一邊的情況也差不多，趙胤和金鳳婆婆聯手，赤金火焰和玄罡金焰聯合，隱隱形成某種頗爲詭異的火海神通，和南宮景拼鬥不止。</p>
</p><p>&emsp;&emsp;就在此刻，一聲隆隆巨響突然從通道方向傳來。</p>
</p><p>&emsp;&emsp;半空六人轉頭看去，眼見巨大火雲將通道堵住，頓時都是一怔。</p>
</p><p>&emsp;&emsp;“怎麼回事？”毗盧仙將和南宮景臉色瞬間難看無比，莫非這是天鳳三族的策略，他們竟然還埋了伏兵。</p>
</p><p>&emsp;&emsp;趙胤等人神情截然不同，臉上露出大喜之色。</p>
</p><p>&emsp;&emsp;雖然不知道那火雲神通是何人施展，不過定然是三族聯盟一方的人。</p>
</p><p>&emsp;&emsp;只是這火雲神通威力極大，即便是他們幾人的壓箱底手段也未必有這般強大的威勢，究竟是何人？</p>
</p><p>&emsp;&emsp;“南宮，這裡由我一人應付，你立刻下去看看是何人作梗！”毗盧仙將沉聲喝道。</p>
</p><p>&emsp;&emsp;南宮景聞言神情微變，不過立刻點了點頭，揮手打出一道冰魄神光，擋開趙胤的一道火焰攻擊，轉身朝着下面飛去。</p>
</p><p>&emsp;&emsp;“休走！”</p>
</p><p>&emsp;&emsp;趙胤大吼一聲，手中凰極火羽扇光芒大放，大片赤金火焰飛射而出，凝聚成一隻十幾丈大小的火鳳虛影，飛射而出，一閃沒入虛空之中。</p>
</p><p>&emsp;&emsp;下一刻，南宮景身前虛空裂開一道空間縫隙，那隻火鳳虛影從中飛射出來，擋在了南宮景身前，將其攔了下來。</p>
</p><p>&emsp;&emsp;“狂妄！”陸馗鍾和狄彥也是大怒，同時加強攻勢。</p>
</p><p>&emsp;&emsp;毗盧仙將長嘯一聲，兩手掐訣，驀然張口噴出大片密密麻麻的黑色符文。</p>
</p><p>&emsp;&emsp;他身後圓盤虛影同時飛射而出，迅速漲大數倍，化爲二三十丈大小。</p>
</p><p>&emsp;&emsp;半空的那些黑色符文頓時如雨而落，融入圓盤虛影中。</p>
</p><p>&emsp;&emsp;轟隆隆！</p>
</p><p>&emsp;&emsp;圓盤虛影驟然擴展開來，化爲一個黑色圓盤形狀的立體區域，閃電般落下，將在場所有人籠罩在了裡面。</p>
</p><p>&emsp;&emsp;陸馗鍾等人一被黑色區域籠罩，立刻感覺到莫名力量作用在了身上，使得他們身體動彈一下都變得困難異常，同時體內真氣也運轉不靈起來。</p>
</p><p>&emsp;&emsp;“這是近乎完整的領域……你……怎麼可能！”陸馗鍾和狄彥身爲天河星域三族族長，都是見多識廣之輩，立刻認出了這黑色區域。</p>
</p><p>&emsp;&emsp;“快去！”毗盧仙將轉頭對南宮景低喝一聲，神情凝重之極，雙手連連打出法訣，手臂隱隱有些顫抖。</p>
</p><p>&emsp;&emsp;顯然施展這個領域，對他來說也十分吃力。</p>
</p><p>&emsp;&emsp;南宮景雖然在領域之中，不過並沒有收到領域之力的壓制，點了點頭，身體飛射而出，朝着通道入口而去。</p>
</p><p>&emsp;&emsp;……</p>
</p><p>&emsp;&emsp;毗盧的魔魂化身被火雲吞噬，眼前一花，出現在了一個赤色空間之中。</p>
</p><p>&emsp;&emsp;轟隆隆！</p>
</p><p>&emsp;&emsp;赤色空間中浮現出大片明黃色的昊天聖焰，整個空間瞬間化爲一片明黃火海，無數火焰朝着魔魂化身涌去。</p>
</p><p>&emsp;&emsp;“這是上古神通，昊天聖焰！”毗盧魔魂化身大驚，不過並沒有驚慌失措，口中唸唸有詞，兩手揮舞。</p>
</p><p>&emsp;&emsp;無數黑氣從他體內涌出，形成一個數十丈大小的巨型黑球，將他的身體籠罩在了裡面。</p>
</p><p>&emsp;&emsp;黑球剛剛成型，周圍的昊天聖焰便飛撲而至，不斷的發出着衝擊黑球。</p>
</p><p>&emsp;&emsp;嗤嗤嗤！</p>
</p><p>&emsp;&emsp;那黑氣是魔氣，一碰到昊天聖焰這種純陽火焰，立刻融化飄散開來，轉眼間整個黑球變得千瘡百孔，飛快縮小。</p>
</p><p>&emsp;&emsp;不過隨着黑球的縮小，越往裡面，黑氣便越是濃郁，以昊天聖焰的威力，也無法再像之前那樣輕易將其蒸發。</p>
</p><p>&emsp;&emsp;黑球縮小到了三分之一大小的時候，黑氣已經濃郁如墨，無論昊天聖焰如何衝擊，也紋絲不動。</p>
</p><p>&emsp;&emsp;就在此刻，人影一花，石牧的身影出現在赤色空間中，眼見此景，先是一驚，口中喃喃自語道：“不愧是修煉了九死輪迴魔功的魔魂化身！”</p>
</p><p>&emsp;&emsp;他自己修煉了身外化身，自然一眼便看出了魔魂化身的跟腳。</p>
</p><p>&emsp;&emsp;不過單憑這點手段便想要對抗玄火大陣，還太嫩了。</p>
</p><p>&emsp;&emsp;石牧兩手揮舞，口中唸唸有詞，整個玄火空間的昊天聖火滾滾翻涌，盡數朝着一處匯聚而去，眨眼間化爲一條數十丈長的明黃怪蛟，散發出龐大可怖的熾熱氣息。</p>
</p><p>&emsp;&emsp;火蛟方一成型，一隻巨大前爪立刻猛然一抓而下，將那個黑氣圓球抓在爪中，猛然一握。</p>
</p><p>&emsp;&emsp;咔嚓！</p>
</p><p>&emsp;&emsp;黑色圓球上浮現出一道道裂紋，隨即爆裂開來，化爲大片黑氣飄散開來。</p>
</p><p>&emsp;&emsp;魔魂化身身體踉蹌浮現而出，被火蛟一把抓在爪中。</p>
</p><p>&emsp;&emsp;魔魂化身發出驚恐的吼叫，奮力掙扎，手中黑刀瘋狂斬向火蛟巨爪。</p>
</p><p>&emsp;&emsp;火蛟巨爪嗡嗡一響，表面浮現出無數赤色符文，黑刀砰的一聲被一彈而開，沒有絲毫效果。</p>
</p><p>&emsp;&emsp;“死吧！”石牧眼中厲色一閃，揮手打出一道法訣。</p>
</p><p>&emsp;&emsp;火蛟深深吸了一口氣，張口噴出一道至純至淨的明黃火焰，將魔魂化身淹沒。</p>
</p><p>&emsp;&emsp;一聲淒厲的慘叫從火焰中發出，不過立刻泯滅消失。</p>
</p><p>&emsp;&emsp;火焰開始消散開來，石牧隱約看到火蛟爪中竟然隱約還有什麼東西留下，立刻凝神戒備，準備再次給予雷霆一擊。</p>
</p><p>&emsp;&emsp;下一刻，石牧卻是一怔，神情放鬆下來，收起了戒備神情。</p>
</p><p>&emsp;&emsp;只見火焰散盡後，火蛟爪中抓着一具純黑骨架，上面滿是黑色符文，散發出濃烈之極的魔氣，不過已經沒有任何意識，裡面的神魂在剛剛的火焰攻擊中已經完全消散。</p>
</p><p>&emsp;&emsp;“這是……”石牧看着黑色骨架，腦海中浮現出當初的那個紅淚魔尊的骸骨，眼前這個顯然也是一樣，是某個魔尊的遺骸，被外面那個仙將得到，煉製成了身外化身。</p>
</p><p>&emsp;&emsp;就在此刻，他身上黑光一閃，身外化身浮現而出，目光貪婪無比的盯着那具黑色骨架。</p>
</p><p>&emsp;&emsp;石牧心中一動，身外化身在荒月古井中實力已經達到聖階巔峰，可惜沒有突破神境的契機，或許這是一個機會。</p>
</p><p>&emsp;&emsp;他揮手打出一道法訣，赤色火蛟身體轟然化爲無數火焰，黑色骨架朝着身外化身飛了過去。</p>
</p><p>&emsp;&emsp;身外化身發出一聲歡呼，身上光芒大盛，身體和黑色骨架緊緊貼在了一起，然後緩緩融合到了一起。</p>
</p><p>&emsp;&emsp;身外化身散發出的氣息猛然大盛，隱隱有突破神境的趨勢，而且氣息還在飛漲。</p>
</p><p>&emsp;&emsp;石牧大喜，不過此刻外面情勢危機，不能慢慢等身外化身突破。</p>
</p><p>&emsp;&emsp;他揮手將身外化身連同黑色骨架一起收入身上一個靈獸袋，身形一動，朝着玄火空間之外飛去。</p>
</p><p>&emsp;&emsp;從將魔魂化身收入玄火空間，到將其擊殺，過程看似複雜，其實也不過十幾個呼吸的時間。</p>
</p><p>&emsp;&emsp;石牧飛出了玄火空間，正要看看周圍的戰況，一道可怖白光從天而降，直襲而來，赫然正是一道冰魄寒光。</p>
</p><p>&emsp;&emsp;南宮景的身影從半空直撲而下。</p>
</p><p>&emsp;&emsp;“是你！”南宮景看清石牧容貌，頓時一驚。</p>
</p><p>&emsp;&emsp;“南宮仙將，別來無恙！”石牧哈哈一聲長笑，單手一揮，一道明黃火焰從掌心飛出，化爲一道明黃火焰長虹，和冰魄神光相撞在了一起。</p>
</p><p>&emsp;&emsp;轟隆隆！</p>
</p><p>&emsp;&emsp;一聲巨響，兩道上古神通相撞之處，虛空完全碎裂，化爲最微小的顆粒。</p>
</p><p>&emsp;&emsp;兩道神通各自一閃，雙雙消散開來。</p>
</p><p>&emsp;&emsp;南宮景臉色一驚，停住了身形。</p>
</p><p>&emsp;&emsp;他和石牧不久前剛剛交過手，對方實力雖然強，但也並未讓他忌憚。</p>
</p><p>&emsp;&emsp;他當日之所以退走，也是因爲只有一人，無法和對方一個聯盟對抗。</p>
</p><p>&emsp;&emsp;可是此刻的石牧，竟然給他一種高深莫測之感，竟然揮手擊潰了他的一道冰魄神光。</p>
</p><p>&emsp;&emsp;“一段時間不見，沒想到閣下實力大進，佩服！”南宮景緩緩開口。</p>
</p><p>&emsp;&emsp;“南宮仙將過獎了！”石牧哈哈一笑，眼睛餘光朝着周圍看去。</p>
</p><p>&emsp;&emsp;通道附近的天庭大軍此刻已經大亂，被趙朱明等人率領三族之人逼的不斷後退，通道的控制權眼看很快便要落入三族之手。</p>
