<title>《鬥破蒼穹》▷ 第1563章 平靜</title></p><p>&emsp;&emsp;第1563章 平靜</p>
</p><p>&emsp;&emsp;話音落下，藥老的面色便是變得複雜了起來，那個種族，從當年離開後，他便是未曾再回去過，不過，如今，他卻得必須再度回去，他在雙親臨終前應喏過，一定會努力的修煉，將二老的名字，刻在族中的宗族碑上</p>
</p><p>&emsp;&emsp;宗族碑，藥族的一面功勳碑，唯有在族中有大成就者，方纔能夠在其上自由留名，所有的藥族之人，都是將這視爲畢生的一種目標，而當年的藥老，也並不例外。</p>
</p><p>&emsp;&emsp;獨自一人在大陸浪跡多年，如今雖說有所成就，但藥老卻是明白，此次返回藥族，想要完成雙親的遺願，恐怕並不會太過容易，藥族之中的一些傢伙，必然會竭力的阻擾他。</p>
</p><p>&emsp;&emsp;想到此處，藥老握着茶杯的手掌也是緩緩捏緊。</p>
</p><p>&emsp;&emsp;望着藥老那複雜的面色，蕭炎微微一笑，道：“老師，宗族碑上，任你而爲，其餘的任何事，交給弟子便可”</p>
</p><p>&emsp;&emsp;蕭炎的聲音，輕緩而平靜，但卻是蘊含着一股強烈的自信與堅決。</p>
</p><p>&emsp;&emsp;當年年少，老人展翼將尚還是雛鷹般的少年小心翼翼的庇護，一路而行，雛鷹漸長，如今翱翔九天，鷹翼之下，無人能再傷遲暮的他.</p>
</p><p>&emsp;&emsp;望着那張噙着笑容的年輕臉龐，藥老卻是眼睛有些發澀，蒼老臉龐上的欣慰，越發的濃郁，他張了張嘴，最後卻是化爲一道輕輕的無奈的低嘆：“你這執拗的小傢伙.”</p>
</p><p>&emsp;&emsp;蕭炎笑了笑，擡起頭來，望向南方的天際，藥族，據說那裡擁有着大陸上最爲頂尖的煉藥師，他倒是真的想要親眼見識一番.</p>
</p><p>&emsp;&emsp;（下一更會有點晚，或許會在12點後。）</p>
</p><p>&emsp;&emsp;(本章完)</p>
