<title>《鬥破蒼穹》▷ 第1258章 封印消失</title><br><p>&emsp;&emsp;第1258章 封印消失</p>
<br><p>&emsp;&emsp;“這老鬼的手臂怎麼斷了一隻？”大殿之中，也不乏一些曾經見過摘星老鬼的強者，這些人看了一眼後者那空蕩蕩的袖子，眼中也是流露出許些疑惑之色，摘星老鬼的實力，在場的不少強者心頭都是清楚，五星斗尊之力，放眼整個大陸，都是能夠算做接近頂尖層次的強者，能夠讓得他斷上一臂的人，也是相當稀少。</p>
<br><p>&emsp;&emsp;半空中，摘星老鬼似也是察覺到這些目光所望之處，臉龐上的陰冷笑容頓時微微收斂，嘴角抽搐了一下，剛欲陰聲冷喝，掃動的目光卻是猛然凝固，旋即，一道充滿殺氣的咆哮之聲，瞬間在這大殿之內響徹而起。</p>
<br><p>&emsp;&emsp;“蕭炎？！你竟然還沒死？”</p>
<br><p>&emsp;&emsp;聽得摘星老鬼突然的咆哮之聲，大殿之內目光也是豁然轉移，最後停留在那殿中那位身形略顯削瘦的青年身上。</p>
<br><p>&emsp;&emsp;“你這老鬼都還活着，我怎能先你一步去死。”面對着暴怒得連臉龐都是鐵青起來的摘星老鬼，蕭炎卻是一笑，漫不經心的道。</p>
<br><p>&emsp;&emsp;“混雜小子，今日老夫必報斷臂之恥！”</p>
<br><p>&emsp;&emsp;摘星老鬼的眼睛，瞬間便是血紅了起來，手臂被蕭炎炸斷，是他心頭難以抹除的恥辱，雖說如今那嚴重的傷勢已經痊癒，可斷臂，卻是無法再生。</p>
<br><p>&emsp;&emsp;摘星老鬼這一聲怒喝，也是在大殿之內帶起了衆多的倒吸冷氣的聲音，一道道目光難以置信的望着蕭炎，這摘星老鬼的手臂，居然是被他給弄斷的？</p>
<br><p>&emsp;&emsp;“這小子怎會有這等實力？”</p>
<br><p>&emsp;&emsp;鳳清兒等人也是有些目瞪口呆，一旁的那名黑袍老者臉色有些陰晴不定，目光看了一眼蕭炎，眼中已是多了一分忌憚，對於摘星老鬼的實力，他非常清楚，比起他來都是要高上一線，既然蕭炎有辦法弄斷摘星老鬼一隻手臂，那麼也定然有辦法讓得他狼狽不堪。</p>
<br><p>&emsp;&emsp;“倒是小看了這小子，不過如今既然這摘星老鬼與他也是有恩怨，嘿.真是天助我等。”黑袍老者眼中掠過一抹冷笑，低聲自語道。</p>
<br><p>&emsp;&emsp;蕭炎身旁，唐震也是目光驚愕的看了蕭炎一眼，心頭頗爲震動，這個年輕人，果然不是表面上這般簡單啊。</p>
<br><p>&emsp;&emsp;“嗤！”</p>
<br><p>&emsp;&emsp;那摘星老鬼怒喝聲落下，也不理會大殿之內的諸多奇異目光，身形一顫，便是化爲一道黑煙對着蕭炎暴掠而去，浩瀚鬥氣威壓，令得蕭炎等人身旁迅速嘩啦啦的空出一個空蕩蕩的大圈子。</p>
<br><p>&emsp;&emsp;“摘星老鬼，另外一隻手臂你也不想要了？”</p>
<br><p>&emsp;&emsp;見到那摘星老鬼怒撲而來，蕭炎手掌連握，三團異火瞬間浮現面前，冷聲喝道。</p>
<br><p>&emsp;&emsp;異火一現，大殿之內溫度陡然升高，摘星老鬼暴掠而出的身影也是嗤的一聲僵在了半空，在那熾熱的溫度下，他也是逐漸的恢復了一些理智，那火蓮的威力，他已經嘗試過一次，因此如今一見到蕭炎召喚出異火，心中便是條件反射般的升起了極濃的忌憚，而且此次前來遺蹟，是身負着殿主親自交代的任務，若是出了什麼差錯的話，此次他必然會受到嚴懲</p>
<br><p>&emsp;&emsp;“這小子身旁也是強者如雲，若是要收拾也要花費一般手腳，到時候若是造成太大消耗，怕是無法與人爭奪，這裡的強者，有着不少連我都是必須全力對付的。”</p>
<br><p>&emsp;&emsp;眼芒閃爍，片刻後，摘星老鬼只得生生的嚥下心頭升騰的暴怒殺意，目光陰狠的盯了蕭炎一眼，森然道：“待得遺蹟之事完畢，老夫再來好好收拾你！”</p>
<br><p>&emsp;&emsp;“隨時奉陪！”</p>
<br><p>&emsp;&emsp;蕭炎冷笑，如今他已正式晉入鬥尊層次，這摘星老鬼給予他的震懾力已經遠遠不如當初，如今的他，若是使用正常手段，或許的確還是收拾不了後者，但這摘星老鬼想要再度像以前那般將他壓着打也是不可能的事，再者，九星斗宗時的毀滅火蓮便能炸了這老怪一隻手臂，如今實力暴漲至鬥尊階別，這火蓮一下去，蕭炎有着自信，定能讓這老鬼屍骨無存！</p>
<br><p>&emsp;&emsp;現在的他， 有的是手段收拾這老鬼，自然不用再如何忌憚於他，若非此刻時機不對，而且周圍還有着其他的對手虎視眈眈，即便這摘星老鬼不出手，恐怕他都是會先出手讓這老鬼將上次的帳給盡數還了！</p>
<br><p>&emsp;&emsp;目光森森的盯着蕭炎，摘星老鬼大袖一揮，便是轉身掠回，然後招呼魂殿的強者徑直落在那大殿最前方，而對於他們這種霸道行徑，其他人雖然心頭不爽，但也不敢多說什麼，一些有實力的強者以及大勢力，也不願在這種時候得罪魂殿這夥人，因此也是睜一隻眼閉一隻眼當做沒看見。</p>
<br><p>&emsp;&emsp;“這次倒是有點麻煩了，沒想到這老鬼也來了，雖說斷了一臂會影響那老鬼的實力，但也是有些棘手啊。”天火尊者沉吟道。</p>
<br><p>&emsp;&emsp;“不用擔心，能讓這老鬼重傷第一次，自然能夠第二次，而且這裡局勢複雜，待會跟別的強者出手時，魂殿的強者必然會有損傷，說不定連那老鬼都是被纏得脫不了身。”小醫仙微微一笑，道。</p>
<br><p>&emsp;&emsp;“你們跟那些傢伙有過節麼？”青鱗小聲的對着紫研問道。</p>
<br><p>&emsp;&emsp;“嗯，那是我們的大仇，以後也就是你的大仇了，待會打起來不要留手，殺一個是一個，以彌補你先前的過錯。”紫研拍了拍青鱗的肩膀，她自認比青鱗入夥早，說話也是顯得老氣橫秋，聽得一旁的蕭炎等人忍不住的失笑。</p>
<br><p>&emsp;&emsp;青鱗也是有些彆扭，不過還是認真的點了點頭，道:“放心，既然是蕭炎少爺的對頭，那我肯定不會留情的。”</p>
<br><p>&emsp;&emsp;“嗯，你還是比較有覺悟的。”紫研滿意的點着小腦袋。</p>
<br><p>&emsp;&emsp;蕭炎無奈的撇了這兩個妮子一眼，目光在大殿之內掃了掃，最後頓在石座周圍的那些石雕傀儡上，輕聲道：“等封印解開後，不要急着出手，這些東西都是燙手山芋，先到手，反而是禍害”</p>
<br><p>&emsp;&emsp;小醫仙等人也是微微點頭，他們都明白，那些寶貝一到誰的手中，誰立刻便是會成爲衆矢之的，大殿之內強者雲集，一人一掌過來，恐怕就算是那摘星老鬼，也是得當場吐血潰敗。</p>
<br><p>&emsp;&emsp;“這蕭炎不僅修煉天賦不弱，而且在煉藥術上同樣有着驚人的造詣，最重要的是雖然年輕，但卻沒有年輕人的驕躁，日後成就必然不凡，焚炎谷與其交好，應該會是一個正確的決定。”</p>
<br><p>&emsp;&emsp;見到蕭炎並未在寶貝的誘惑下衝動，唐震也是點了點頭，心頭對蕭炎的重量都是提升了不少。</p>
<br><p>&emsp;&emsp;蕭炎自然是不知道他這番表現令得唐震心頭爲他加了不少分，此刻的他， 目光正緊緊的注視着懸浮在大殿半空中的那些光團上，此刻，光團周圍的光芒，已是越來越弱。</p>
<br><p>&emsp;&emsp;“封印要消失了！”</p>
<br><p>&emsp;&emsp;蕭炎面色凝重，突然輕聲道。</p>
<br><p>&emsp;&emsp;而隨着他這道聲音的落下，那十個光團，猛然一陣劇烈顫抖，旋即爆發出一陣刺眼強芒，而在這強芒之中，其內的卷軸，也是在此刻化爲一道道流光，自光團之內，暴掠而出！</p>
<br><p>&emsp;&emsp;卷軸掠出，整座大殿，瞬間沸騰！</p>
<br><p>&emsp;&emsp;與此同時，石座周圍的石雕傀儡，也是在此刻，猛然睜開了緊閉無數歲月的雙瞳，一股濃郁的殺伐，在這一霎，瀰漫而開！</p>
<br><p>&emsp;&emsp;（瘋狂的求推薦票~~~~大夥看完更新請投一張吧，謝謝了！）</p>
<br><p>&emsp;&emsp;(本章完)</p>
