<title>《鬥破蒼穹》▷ 第565章 第二輪</title><br><p>&emsp;&emsp;第565章 第二輪</p>
<br><p>&emsp;&emsp;感受着體內再度澎湃涌動的鬥氣，蕭炎微微一笑，那白程想要拼着命讓自己也是失去後面勝利的打算倒是得要落空了，以他焚決的奇效，再加上各種丹藥的配合，只要不是真正的重傷，短時間痊癒並非是什麼困難之事。</p>
<br><p>&emsp;&emsp;“明日的比賽，怕是比今日將會更加兇險。”蕭炎沉吟着喃喃道，能夠進入這前二十五名的，除了吳昊等極少數人外，無一例外都是真正的強者，這些人，可要比白程強上許多。</p>
<br><p>&emsp;&emsp;“不過柳擎的那大裂劈棺爪，倒真是威力恐怖，真要打起來的話，恐怕我的八極崩都有些趕之不上。”五指微微緊握，蕭炎輕嘆道，雖說兩者都是玄階高級的等級，但是自己修習八極崩不過兩三年時間，而柳擎，卻是至少錘鍊了將近二十年時間，這可如何能比？再何況，柳擎本身實力就遠超過他，再配合着那大裂劈棺爪，蕭炎還真只能暫避鋒芒。</p>
<br><p>&emsp;&emsp;眼芒微微閃爍，片刻後，驟然變狠，蕭炎惡狠狠的自言自語的道：“管他呢，不管究竟遇見誰，都必須全力以赴，前十的名額，我可必須佔一個！”</p>
<br><p>&emsp;&emsp;在距離蕭炎房間不遠處的一處幽靜小房中，一道曼妙嬌軀亭亭玉立的矗立在月光之下，在其身後，一位老者垂手而立。</p>
<br><p>&emsp;&emsp;“小姐，一月時間可已經到了，您，還不離開麼？”沉默的氣氛持續了片刻，老者擡起頭來，那張面孔，自然是一直守護着薰兒的凌影。</p>
<br><p>&emsp;&emsp;嬌軀微不可察的顫了顫，半晌後，有着幽幽嘆息聲響起：“再等幾天吧，等蕭炎哥哥順利取得大賽前十，那我便能安心離開了。”</p>
<br><p>&emsp;&emsp;凌影無奈的點了點頭，卻是不再多說，身體一扭，化爲一道陰影消失在黑暗之中。</p>
<br><p>&emsp;&emsp;似是沒有感應到身後老者的消失，少女依然如石雕般矗立在窗前，美眸蘊着情意，透過窗外，停留在不遠處的一處房間，那裡，有着淡淡的燈火殘留。</p>
<br><p>&emsp;&emsp;今夜，多人無眠。</p>
<br><p>&emsp;&emsp;翌日，在無數人的期盼中，姍姍而至。</p>
<br><p>&emsp;&emsp;當第一縷晨輝從天際灑落而下時，安靜的內院，頓時再度被沸騰所取代，衆多學員在簡單的解決早餐之後，便是成羣結隊的對着廣場飛奔而去。</p>
<br><p>&emsp;&emsp;龐大的廣場，在短短兩個小時中，便是被迅速佔滿，一如昨日的喧譁火暴，帶着各種各樣的聲調，沖天而起。</p>
<br><p>&emsp;&emsp;在到達廣場半個小時後，各位長老也是陸續到席，當大長老蘇千上座之後，這第二日的比賽，則是宣佈正式來臨！</p>
<br><p>&emsp;&emsp;“由於經過昨日的淘汰，參賽者已經只遺留下二十五人，所以需要重新抽籤。”裁判席上，蘇千淡淡的笑聲，在場中每一個人耳中極爲清晰的迴盪着：“不過這次人數有着殘餘一人，所以，今日只會有着十二場戰鬥，最後一人，將會無條件晉級。”</p>
<br><p>&emsp;&emsp;蘇千的話，在看臺上引起了一陣波動，無條件晉級？這似乎也太輕鬆了點吧？誰若是運氣好點的話，豈不是能夠直接進入前十三？</p>
<br><p>&emsp;&emsp;“呵呵，這無條件通過恐怕對不少人都是極大的吸引力，不過爲了公平起見，經過我們長老會商討，這個名額，將會給予紫研。”蘇千笑道。</p>
<br><p>&emsp;&emsp;隨着蘇千話落，看臺上再度騷動，而那參賽者所在的高臺上，所有人卻都是微微點了點頭，反正那個小怪物晉級都沒有絲毫意外，將這個名額給她的話，他們倒是能夠幸運的別在這一輪就撞上她。</p>
<br><p>&emsp;&emsp;“各位參賽者，可對此有異議？”蘇千目光轉向高臺，問道。</p>
<br><p>&emsp;&emsp;衆人齊齊搖頭，那副整齊模樣，令得看臺上衆人錯愕不已。</p>
<br><p>&emsp;&emsp;“呵呵，既然如此，那便開始抽籤吧。”蘇千笑着點了點頭，指着場中石臺上的竹筒道。</p>
<br><p>&emsp;&emsp;聞言，臺上衆人立刻閃掠上場，依序的從竹筒中取出了竹籤。</p>
<br><p>&emsp;&emsp;七，蕭炎隨意的瞥了一眼自己竹籤上的號碼，旋即便是跟着衆人回到高臺，安靜的等待着接下來的戰鬥。</p>
<br><p>&emsp;&emsp;“強榜大賽第二輪，第一場，三號！紅底籤三號與藍底籤三號上場！”瞧得衆人抽籤完畢，蘇千手一揮，喝道。</p>
<br><p>&emsp;&emsp;隨着蘇千喝聲落下，兩道身影，頓時從高臺之上閃掠而下，強悍氣勢，瞬間瀰漫場中。</p>
<br><p>&emsp;&emsp;蕭炎目光停在場中，聽着身旁吳昊的介紹，倒是對場中兩人略微有些瞭解，一人“強榜”排名二十，一人二十二，相差不多，都是有些狠手段，拼起來也是有着不小的看點。</p>
<br><p>&emsp;&emsp;“比賽開始！”</p>
<br><p>&emsp;&emsp;蘇千淡淡的聲音，猶如點爆火藥桶的火星般，頃刻間，將場中劍拔弩張的氣氛徹底引爆！</p>
<br><p>&emsp;&emsp;戰鬥從一開始，便是未出現多少熱身，雙方直接是展開最兇悍的正面碰撞，兩股雄渾鬥氣彼此衝撞間，鬥氣爆炸聲響在半空中醞釀成一道道氣浪，對着四周席捲而去，宛如狂風。</p>
<br><p>&emsp;&emsp;目光緊緊的盯着場內戰鬥，蕭炎微微點頭，能夠走到這一步的學員，果然都是有着幾把刷子，比起昨日來，整體實力幾乎上升了一個層次。</p>
<br><p>&emsp;&emsp;“喂，蕭炎。”在蕭炎緊盯戰鬥時，忽然一隻手掌拍了拍他的肩膀，熟悉的聲音在耳邊響起。</p>
<br><p>&emsp;&emsp;疑惑的轉過頭，蕭炎望着身後的林焱，瞧得他一臉的鬼鬼祟祟，不由得好笑道：“怎麼了？你不去準備接下來的戰鬥，來這幹嘛？”</p>
<br><p>&emsp;&emsp;“嘿嘿，我可是爲你好，你的號碼是七號吧？”林焱一屁股坐在其身旁，嘿嘿笑道。</p>
<br><p>&emsp;&emsp;“嗯。”蕭炎點了點頭，有些疑惑的看着他。</p>
<br><p>&emsp;&emsp;“看來你對自己號數並沒有多少遮掩，本來你的對手是一個排名二十四的傢伙，不過正好那人也是柳擎那一派，所以他的號碼被姚盛給換了去。”林焱攤了攤手，道：“所以，你的對手，已經被換成了姚盛，看這模樣，他是打算在比賽上好好教訓你。”</p>
<br><p>&emsp;&emsp;“哦？”眉頭一挑，蕭炎錯愕的道：“換號碼不違反規定？”</p>
<br><p>&emsp;&emsp;“第二輪的比賽號數都沒有宣佈出來，大多都是將自己的號碼保管的嚴嚴實實，沒人像你隨便將號碼露出來。”林焱撇了撇嘴，從懷中取出竹籤，衝着蕭炎揚了揚，笑道：“要不，我們換個吧？我這對手是個排名十九的傢伙，雖然也挺強，不過與姚盛想比，卻是要輕鬆許多。”</p>
<br><p>&emsp;&emsp;望着林焱的舉動，蕭炎有些感動，微微一笑，將之推回，輕笑道：“正好我也看那傢伙不順眼，既然他自己要撞過來，我退避的話，豈不是讓人看了笑話？”</p>
<br><p>&emsp;&emsp;“你有信心？那傢伙如今的實力，怕至少也能進入強榜前十五啊。”見到蕭炎拒絕，林焱也不多說，只是皺眉道。</p>
<br><p>&emsp;&emsp;蕭炎笑着拍了拍林焱的肩膀，轉過頭來，目光投向高臺的另外一邊，那裡，一臉陰柔的姚盛正好也是將視線投來，那對目光，陰冷中帶着不屑與挑釁。</p>
<br><p>&emsp;&emsp;(本章完)</p>
