<title>《擇日飛昇》▷ 第八百九十三章：元愛節之戰</title></p><p>&emsp;&emsp;“放肆！”</p>
</p><p>&emsp;&emsp;他雙掌向前推出，只一瞬間，便彷彿有無中生有開闢宇宙乾坤的威能轟出，與衆人的帝族神通轟然碰撞！</p>
</p><p>&emsp;&emsp;下方，皇極帝都的四周，數以千計的先天靈寶各自大放光芒，厚重的道光縈繞，將皇極帝都守住，抵擋這股恐怖的衝擊。</p>
</p><p>&emsp;&emsp;許應立腳不穩，被衝擊得倒飛而去，內外後天大道宇宙立刻告破，修爲受損！</p>
</p><p>&emsp;&emsp;他哪怕先天九道、虛空大道和異道混元了數十萬種先天大道，也無法同時對抗這麼多高手！</p>
</p><p>&emsp;&emsp;許應悶哼一聲，身形踉蹌，勉強止住頹勢。</p>
</p><p>&emsp;&emsp;那十多位帝族族老見他受傷，立刻衝上前來，各自道法神通再度爆發，齊齊向許應轟去！</p>
</p><p>&emsp;&emsp;與此同時，許應體內異道流轉，後天大道形成的內外兩重完美的大道宇宙立刻復原。</p>
</p><p>&emsp;&emsp;他調運虛空道力，將附近的天地道力抽空，再度九道循證，道力爆發，迎上那十多位族老的神通！</p>
</p><p>&emsp;&emsp;“轟！”</p>
</p><p>&emsp;&emsp;這一次碰撞更爲激烈，許應受傷更重，向後跌去，那一位位帝族族老也自氣血浮動，再度衝上前來。</p>
</p><p>&emsp;&emsp;他們雖然是大道之主，但畢竟不是大道盡頭，道主還要受虛空大道的影響，被抽走虛空能量，便無法從其他宇宙調運來道力。</p>
</p><p>&emsp;&emsp;大道盡頭卻可以在抽空虛空能量之後，猶自從其他宇宙調運來道力，甚至無中生有，道力無窮無盡，與道主不可同日而語！</p>
</p><p>&emsp;&emsp;許應與那十多位帝族族老第三記碰撞，這次只見諸位族老氣血翻騰，竟然與許應齊平。</p>
</p><p>&emsp;&emsp;待到第四記碰撞，十多位帝族族老面色漲紅，紅的像是要滴血一般。</p>
</p><p>&emsp;&emsp;待到第五次碰撞，那十多位帝族族老各自口中噴血，身形不穩，無法再與許應對抗！</p>
</p><p>&emsp;&emsp;“調運其他大道的道力，轟殺他！”有人高聲叫道。</p>
</p><p>&emsp;&emsp;其他族老聞言，各自調運其他大道的道力，一直以來，他們只動用九分之一的道力，雖然十多人聯手，但依舊不能直接將許應轟殺。但倘若可以調運全部道力，那麼一個人便相當於九人聯手，戰力自然暴增！</p>
</p><p>&emsp;&emsp;然而就在他們調運各自所有道力的同時，忽然許應殺入人羣，玉家族老玉超在與許應碰撞的一瞬間，便身中八招，聽到自己額骨、喉骨、玉枕骨、第三胸椎、第十八椎骨、尾閭、膝蓋破碎的聲音！</p>
</p><p>&emsp;&emsp;他玉家的道法，一個照面便被破得乾乾淨淨。哪怕玉超心存僥倖，此刻帝族的驕傲，也隨着他身軀倒下而化作塵土。</p>
</p><p>&emsp;&emsp;修封還未來得及完全調動道力，便被許應一掌穿過神通，扣住面門，不由自主的向後仰去，半個身子被折斷，後腦勺砸在屁股蛋上！</p>
</p><p>&emsp;&emsp;文淵眼前劍光閃動，雙手雙腳盡斷，立刻飛身便走，忽覺自己身體一輕，腦袋從脖頸上飛去，丟下身子逃之夭夭。</p>
</p><p>&emsp;&emsp;шшш＿ тт kǎn＿ co</p>
</p><p>&emsp;&emsp;許應以背後的黑棺撞擊秦風骨，將秦風骨撞得口中噴血，擡手迎上裕川的輪迴永證大神通。</p>
</p><p>&emsp;&emsp;兩人身形交錯的瞬間，裕川連中八招，腦中一片嗡鳴：“他說得沒錯，先祖帝望的輪迴永證不滅經，的確存在着八處紕漏。然而……”</p>
</p><p>&emsp;&emsp;他大口噴血，身形無力的從空中跌落下去，心中萬念俱灰：“然而許應儘管指點出這八處紕漏，我卻無法修改……”</p>
</p><p>&emsp;&emsp;天空中傳來一個個驚慌失措的聲音：“拉開距離！單打獨鬥誰也不是他的對手！與他拉開距離！”</p>
</p><p>&emsp;&emsp;話雖如此，還是不斷有人被許應重創，跌落下來。</p>
</p><p>&emsp;&emsp;仙庭中，帝宸揹負雙手，站在金鑾殿前遠遠的看着這一幕，面色無悲無喜。</p>
</p><p>&emsp;&emsp;他的身後，帝后娘娘卻露出驚容，喃喃道：“此人的道法，怎麼與正常的道法不同？他的洪源，爲何是這般模樣？”</p>
</p><p>&emsp;&emsp;“他修的不是洪源，而是混元宇宙。”</p>
</p><p>&emsp;&emsp;帝宸開口道，“混沌海中存在兩種宇宙，一種便是混沌靈根所誕生的宇宙洪源，洪源開闢而形成宇宙。另一種便是類似我們混元宇宙，無中生有開闢而出的宇宙。前者開闢簡單，後者開闢艱難。他修行的是後者。”</p>
</p><p>&emsp;&emsp;他目光閃動，看不出喜怒，突然開口道：“他便是道盟一直在尋找的大人物。”</p>
</p><p>&emsp;&emsp;帝后娘娘心頭微震：“道盟的大人物？陛下，此人豈不是我們仙朝的對手？趁着他現在還弱小……未央，這個小情郎，不能給你了。”</p>
</p><p>&emsp;&emsp;帝宸淡淡道：“我自會處理。”</p>
</p><p>&emsp;&emsp;元未央沒有說話。</p>
</p><p>&emsp;&emsp;另一邊，田家族老田不勿終於將自己的五太道身斬殺，剛剛舒了口氣，擡頭便見許應捏着丹家族老的臉，如同提着一具死屍。</p>
</p><p>&emsp;&emsp;田不勿心頭一突，便見許應提着丹家族老向這邊走來，待來到他不遠處時，將丹家族老丟了下去。</p>
</p><p>&emsp;&emsp;田不勿笑道：“許道友……”</p>
</p><p>&emsp;&emsp;“轟！”</p>
</p><p>&emsp;&emsp;許應一拳砸在他的臉上，將他轟飛！</p>
