<title>《全職法師》▷ 第999章 終極引雷，爆！</title><br>&emsp;&emsp;龍息打來，莫凡高高的躍起，避開了從下方撲涌過來的毀滅龍息。<br>
<br>&emsp;&emsp;一個個蟻蛆從歹蛆僞龍被雷爆卷傷的地方掉落下來，歹蛆僞龍從剛纔的烏光閃耀威風凜凜立刻變成了鮮血淋漓，焦爛成片！<br>
<br>&emsp;&emsp;“呼~~呼~~呼~~~”<br>
<br>&emsp;&emsp;沒有了一絲海水的淺礁上，莫凡身體微微躬着，臉色蒼白得可怕。<br>
<br>&emsp;&emsp;引雷這種能力，莫凡倒是很早就掌控了，可他從沒有像今天這樣吸收了這麼龐大的雷電。<br>
<br>&emsp;&emsp;很多次莫凡都感覺自己身體會被那些烏雷給炸得血肉模糊了，最後他還是挺了下來，不得不說惡魔系的體質這次給莫凡提供了巨大的保障，不然玄蛇鎧甲也護不住這樣引雷的自己！<br>
<br>&emsp;&emsp;這一次雷爆，威力已經超越了莫凡所有的魔法之威，防禦力強大的烏海僞龍都被轟得遍體鱗傷。<br>
<br>&emsp;&emsp;不過，這樣做是值得的！<br>
<br>&emsp;&emsp;烏海僞龍的實力莫凡之前就靈教過了，哪怕他與小炎姬合體，施展出全部的力量來，也最多打傷烏海僞龍，包括穆寧雪的冰封，一樣只是控制住烏海僞龍，想殺這頭統領級的生物，極難極難！<br>
<br>&emsp;&emsp;唯有施展出更強的魔法來，纔有獲勝的希望，於是便有了莫凡大膽極限引雷的那可怕一幕。<br>
<br>&emsp;&emsp;穆寧雪被莫凡這瘋狂的行爲驚出了一身的冷汗，看到莫凡這個怪物沒有死，這才大大的鬆了一口氣。<br>
<br>&emsp;&emsp;“你還好吧？”穆寧雪問道。<br>
<br>&emsp;&emsp;“有點脫力，留住它，不能讓它跑掉。”莫凡交代道。<br>
<br>&emsp;&emsp;“我知道，你大可以不必這樣冒險，我穆寧雪也絕不會讓這種可怕的溺咒歹蛆逃走！”穆寧雪雪眸凌厲的一閃，霎時冷空氣降下，一股可怕的壓強呈現颶風來襲之勢以穆寧雪爲中心涌動。<br>
<br>&emsp;&emsp;“你冷靜些，別傷身體。”莫凡一看到穆寧雪這架勢，馬上聯想到了什麼，急急忙忙勸阻道。<br>
<br>&emsp;&emsp;氣勢瞬間提升到這種程度，穆寧雪這擺明了要使用禁術了！<br>
<br>&emsp;&emsp;這禁術，並非是國際上規定的禁術邪術，這個禁只是對穆寧雪自己而言，以她現在對冰之力的掌控，強行使用冰晶剎弓，那是一種慢性自殺行爲！<br>
<br>&emsp;&emsp;莫凡自然知道穆寧雪的冰晶剎弓會對她身體造成巨大的反噬，所以立刻制止。<br>
<br>&emsp;&emsp;“放心，現在我已經可以一定程度上使用它了！”穆寧雪知道莫凡的擔憂，在凝勢的時候特意解釋了一句。<br>
<br>&emsp;&emsp;她也不希望莫凡爲自己擔心。<br>
<br>&emsp;&emsp;在中階時期，穆寧雪使用冰晶剎弓那確實跟自殺沒有什麼區別，那可怕的冰禁反噬足以將她的大部分生命之能給一口氣抽空。<br>
<br>&emsp;&emsp;但到了高階，冰之領域運用自如後，穆寧雪一定程度上能夠無駕馭這股封存在自己冰之體的力量了。<br>
<br>&emsp;&emsp;代價是要付出一些，可與讓歹蛆僞龍跑了造成的可怕後果，穆寧雪覺得這點代價算不上什麼！<br>
<br>&emsp;&emsp;何況，她哪裡忍心看莫凡一個人以命相搏？？<br>
<br>&emsp;&emsp;“冰晶剎弓”<br>
<br>&emsp;&emsp;鑽石一般的粉末在穆寧雪周身浮現，它們呈現旋轉之勢，在穆寧雪的胸前凝成了一柄晶瑩剔透、勢如風暴的冰晶之弓！<br>
<br>&emsp;&emsp;長弓被穆寧雪牢牢的握住，纖細的食指與中指微微彎曲，虛持着，緩緩的拉動着這柄冰弓的隱形之弦……<br>
<br>&emsp;&emsp;穆寧雪身子完全打開，銀色的髮絲在她精美的臉頰旁凌亂飛掃，當她玉臂舒展到最極限位置時，更多的冰晶粉塵凝聚，赫然變成了一根冰晶箭矢，就搭在剎弓弓身上！<br>
<br>&emsp;&emsp;“殺！”<br>
<br>&emsp;&emsp;最簡短的一個字從穆寧雪冰粉的口中吐出，形成的那股勢龐大到讓這一整個海洋都出現了一次肉眼可見的嗡動，歹蛆僞龍更是直接露出了恐慌之色。<br>
<br>&emsp;&emsp;“唿！！！！！！！”<br>
<br>&emsp;&emsp;箭呼嘯而出，捲起了一場駭然的冰雪風暴，就尾隨在這柄冰晶箭矢的箭尾。<br>
<br>&emsp;&emsp;冰晶之箭貼着海水，分開了海洋，那些被切割開的海水面甚至在2秒鐘之後，全部凍成了冰晶！<br>
<br>&emsp;&emsp;歹蛆僞龍此刻哪裡還有那龍族的驕傲與不可一世，徹底變成了一頭失去了保護殼的斷尾蟲，落荒而逃。<br>
<br>&emsp;&emsp;箭矢追上，直接從歹蛆僞龍那健壯的身軀背部穿過！<br>
<br>&emsp;&emsp;歹蛆僞龍身體稍稍一僵，緊接着就看到這肉山之龍在箭矢橫穿過去的剎那變成了無數的冰晶碎片。<br>
<br>&emsp;&emsp;“啪！”<br>
<br>&emsp;&emsp;宛如一尊大冰雕被打碎了那般，冰晶箭矢依舊在朝着更遠的地方飛逝，所過之處全部化爲冰晶，海、雲、礁，沒有一處能夠倖免，海洋轉瞬間淪爲冰河，而那烏海僞龍，更是變成了塊狀的碎片，堆成了一谷……已經沒有半點生命跡象了，更哪裡還有一條兇殘僞龍的模樣！<br>
<br>&emsp;&emsp;遠處，鮑比的下巴都要砸在冰面上了！<br>
<br>&emsp;&emsp;他的眼睛瞪得極大，海都沒有了，目所能及之處全是冰，他這輩子也沒有見過如此驚世駭俗的冰法師啊！！！<br>
<br>&emsp;&emsp;自己爲什麼要那麼賤的朝這樣的女人調戲吹口哨？？活得不耐煩了嗎！<br>
<br>&emsp;&emsp;此刻鮑比覺得這件事結束後，自己要做的第一件事不是祭拜弟弟，而是跪謝穆寧雪不殺之恩。<br>
<br>&emsp;&emsp;另一邊，正休息喘息的莫凡此刻也不由的動了動喉結，看着這冰封千里的畫卷，都不知道用什麼言語來形容心情，儘管不是第一次見到了，可這種一切瞬間冰封凍結的力量依舊帶來巨大的心靈震撼！<br>
